,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
183,0.4,5.229,0.065,0.087,154.061,1000.017,0.015,14.38,14.38,58.94,123.25,15.62,8.14,20.0
184,0.0,4.845,0.073,0.098,175.732,1000.028,0.028,6.91,6.91,7.64,134.49,17.204,8.22,21.0
185,0.1,4.847,0.074,0.099,177.649,1000.029,0.029,6.95,6.95,8.36,134.47,17.205,8.14,21.0
186,0.2,4.87,0.075,0.1,179.177,1000.03,0.029,7.38,7.38,8.32,134.8,17.244,8.14,21.0
187,0.3,4.926,0.075,0.101,180.132,1000.03,0.029,10.62,10.62,8.12,134.86,17.202,8.14,21.0
188,0.4,4.923,0.075,0.101,180.222,1000.031,0.029,11.92,11.92,8.95,135.0,17.232,8.15,21.0
189,0.5,4.915,0.075,0.1,179.575,1000.031,0.029,21.75,21.75,69.33,135.07,17.252,8.14,21.0
190,0.0,4.841,0.074,0.099,177.476,1000.029,0.029,5.53,5.53,6.66,133.39,17.039,8.22,22.0
191,0.1,5.109,0.073,0.097,173.226,1000.024,0.023,5.54,5.54,7.49,134.52,17.172,8.14,22.0
192,0.2,4.99,0.074,0.098,175.475,1000.027,0.026,6.21,6.21,8.59,134.5,17.148,8.14,22.0
193,0.3,4.797,0.074,0.099,178.152,1000.031,0.03,18.23,18.23,26.51,134.29,17.173,8.14,22.0
194,0.4,4.706,0.075,0.099,178.858,1000.033,0.031,23.15,23.15,34.36,133.88,17.195,8.14,22.0
195,0.5,4.677,0.075,0.099,179.203,1000.034,0.031,18.94,18.94,32.11,133.64,17.17,8.14,22.0
196,0.6,4.672,0.075,0.099,179.089,1000.034,0.031,23.29,23.29,34.63,133.59,17.17,8.14,22.0
197,0.7,4.664,0.075,0.099,179.217,1000.035,0.031,27.2,27.2,47.6,133.55,17.169,8.14,22.0
198,0.0,5.675,0.072,0.097,169.35,1000.01,0.01,6.36,6.36,9.25,136.68,17.122,8.22,23.0
199,0.1,5.672,0.071,0.097,168.906,1000.01,0.01,6.23,6.23,8.3,136.84,17.144,8.15,23.0
200,0.2,5.683,0.071,0.097,168.239,1000.01,0.009,6.61,6.61,8.66,136.7,17.126,8.13,23.0
201,0.3,5.656,0.071,0.097,168.417,1000.012,0.01,9.16,9.16,9.38,137.0,17.176,8.14,23.0
202,0.4,5.407,0.074,0.1,175.416,1000.02,0.018,12.35,12.35,9.55,137.18,17.328,8.13,23.0
203,0.5,5.121,0.075,0.101,178.806,1000.028,0.025,24.16,24.16,26.73,136.43,17.355,8.14,23.0
204,0.6,4.979,0.075,0.1,178.793,1000.03,0.027,38.32,38.32,83.28,135.39,17.282,8.14,23.0
205,0.7,4.967,0.074,0.099,176.566,1000.03,0.027,48.74,48.74,176.71,134.97,17.22,8.14,23.0
